deserve	 -할 만하다
poised	(~을 할)준비가 다 된
cart	(2륜)짐마차
he	(3인칭단수 남성)그
jet	(가스등의)분출
fright	(갑자기 엄습하는)공포
frustrate	(계획 등을)좌절시키다
blossom	(과수의)꽃
scrub	(관목의)숲
choir	(교회의)성가대
amount	(금액이)-이 되다
mechanism	(기계)장치
long	(길이,시간 등)긴
chip	(나무)토막
blink	(눈을)깜빡거리다
too	(-도)또한
chop	(도끼 등으로)자르다
pave	(도로를)포장하다
flavor	(독특한)맛
habitat	(동물의)자연번식지
neither	(둘중)어느쪽도 -아니다 -도 아니다
slip	(때가)어느덧 지나가다
paragraph	(문장의)절
compartment	(물건 보관용)칸
apply	(물건을)대다
pad	(및에)덧대는 것
embryo	(배아)태아
role	(배우의)역
from	(분리,이탈,출발점,기점)-로 부터
confide	(비밀을)털어놓다
peak	(뾰족한)끝
happen	(사건 등이)일어나다
blonde	(살결이 흰)금발의 여성
organ	(생물의)기관
format	(서적의)체제
laugh	(소리내어)웃다
manipulate	(손으로)다루다
meat	(식용짐승의)고기
column	(신문 등의)난
jar	(아가리가 넓은)항아리
undergo	(영향 등을)받다
fan	(영화 등의)팬
through	(-을)통하여 통하여 직통의
tend	(-의)경향이 있다
consensus	(의견 등의)일치
quit	(의무,책임을)벗어난 떠나다
oblige	(의무를)별수없이 -하게하다
mood	(일시적인)기분
resort	(자주)가다
knight	(중세의)기사
hat	(테있는)모자 모자를 씌우다
broad	(폭이)넓은
refugee	(피)난민
inclined	~경향이 있다.
concerning	~에 관하여
consequent	~의 결과로 일어나는
barring	~이 없다면, ~을 제외하고
prone	~하기 쉬운, ~경향이 있는
liable	~하기 쉬운, ~할 것 같은
enable	~할 수 있게 하다.
theater	극장
versus	…대, …에 대한
against	…에 반대하여
via	…을 거쳐, …을 경유하여
quarter	4분의 1
hundred	100
decade	10년간
teenage	10대
billion	10억
dozen	1다스
century	1세기
dose	1회복용량 투약하다
bilingual	2개 국어의
double	2배의
sophomore	2학년
may	5월  청춘, 인생의 봄  산사나무, 아가위나무
store	가게
cost	가격
furniture	가구
near	가까이 -의 가까이에 가까운 접근하다
occasional	가끔의
poverty	가난
poor	가난한 부족한, 불충분한, 빈약한
possibility	가능성
probable	가능성 높은
feasibility	가능성, 실행 가능함
possible	가능한
potential	가능한
go	가다
fill	가득 채우다
full	가득찬
sink	가라앉다
avenue	가로수길
rail	가로장
across	가로질러
powder	가루
teach	가르치다
instruct	가르치다
designate	가리키다
drought	가뭄
tap	가볍게 치기
hypothesis	가설
accelerate	가속하다 속도가 가해지다
petrol	가솔린
gasoline	가솔린
breast	가슴
chest	가슴팍
thorn	가시
sorry	가엾은
extra	가외의
scissors	가위
clip	가위로 자르다
border	가장자리
margin	가장자리
appliance	가전제품
home	가정
assumption	가정
tutor	가정교사
domestic	가정의
presume	가정하다
bring	가져오다
family	가족
household	가족
branch	가지
have	가지(고 있)다
various	가지가지의
arrange	가지런히 하다
value	가치
worth	가치가 있는 가치
worthwhile	가치있는
steep	가파른 -에 담그다 잠기다 담그기
