memorial	기념의, 추도의
단어	뜻
a	하나의
A.M.	오전
abandon	버리다
abbreviate	축약하다, 단축하다
ability	능력
able	할 수 있는
abnormal	비정상적인
aboard	배로
abolish	(제도, 법률등을)폐지하다
abort	유산하다
about	-에 대하여
above	-보다 위에
abroad	외국으로
abruptly	갑자기, 퉁명스럽게
absence	부재
absent	부재의
absolute	절대의
absorb	흡수하다
abstain	삼가다, 자제하다
abstract	추상적인
absurd	불합리한
abundant	풍부한
abuse	남용
academy	학술원
accelerate	가속하다 속도가 가해지다
accent	액센트
accept	받아들이다
acceptable	"용인되는, 받아들일 수 있는;
 훌륭한, 만족스러운"
access	접근
access	~에의 접근하다
accessible	출입할 수 있는; 이용할 수 있는
accessory	부속물
accident	뜻밖의 사건
accident	사고, 우연
acclaim	호평, 찬사
accommodate	수용하다
accompany	동반하다
accomplish	이루다
accomplished	숙련된, 노련한
accomplishment	성과,업적
accord	일치하다
account	설명하다 계산
accountable	책임이 있는
accountant	회계사
accounting	회계
accumulate	축적하다
accurate	정확한
accuse	고발하다
accustomed	익숙한
ache	고통
achieve	성취하다
achievement	성취, 달성
acid	산 신
acknowledge	인정하다
acquaint	알리다, 익히다, 숙지하다
acquire	얻다
acquisition	획득
across	가로질러
act	행동하다
activate	활동적으로 하다
active	활동적인,적극적인
actual	현실의
actually	실제로, 사실은
acute	날카로운
adapt	적용시키다
adapt	적응시키다
adapt	적응시키다, 순응하다
add	추가하다
addict	열중하게 하다
additional	추가의, 부가적인
address	말을 걸다
adept	능숙한
adequate	충분한, 적절한
adhere	고수하다
adhesive	점착성의
adjacent	인접한
adjourn	정회하다
adjust	맞추다
admantly	확고하게
administer	관리하다
administration	관리
admire	감복하다
admission	입장
admit	받아들이다
adolescent	청년기의
adopt	채용하다
adopt	채택하다, 양자로 삼다
adult	성인
advance	나아가다
advanced	고급의; 진보한, 앞선
advantage	유리한 입장
adventure	모험 모험하다
adverse	거꾸로의
adversity	역경, 불운
advert	출현
advertise	광고하다
advertisement	광고
advice	조언, 충고
advisable	바람직한, 합당한
advise	충고하다
advocate	변호사
aesthetic	미적인
affair	일
affect	영향을 주다
affection	애정
affiliate	회원으로 가입시키다
affix	(우표 등을)붙이다
affluence	부유함
afford	여유가 있다
affordability	감당할 수 있는 비용
affordable	(가격이)알맞은, 감당할 수 있는
afraid	두려워하여
after	후에
afternoon	오후
again	다시
against	…에 반대하여
age	연령
agency	기능
agenda	안건
agent	대리인
aggression	공격,침략
aggressive	침략적인
ago	이전에
agree	동의하다
agreement	계약, 협정; 합의
agriculture	농업
ahead	전방에
aid	도와 주다
aim	겨누다
air	공기
aircraft	항공기
airline	정기항공
airplane	비행기
airport	공항
aisle	측면복도
alarm	놀라게 하다
alert	빈틈없는
alien	외국의
alike	비슷한
alive	살아있는
all	모든
allergic	알레르기의
alleviate	줄이다, 완화하다
alley	골목길
alliance	동맹, 제휴
allocate	할당하다
allow	허락하다
allowance	수당
ally	동맹하다
almost	거의
alone	다만 홀로(혼자서)
along	-을 따라
alongside	-의 곁에
aloud	큰 소리로
already	이미
alright	더할나위없이
also	-도 또한
alter	바꾸다
alternate	번갈아 하는, 격일의
alternative	대안, 대체할 수 있는
although	비록 -일지라도
altitude	고도
altogether	전혀
alumni	동창생들, 졸업생들
always	늘
amaze	깜짝 놀라게 하다
ambassador	대사
ambition	야심
amendment	개정, 수정
amenity	편의 시설
among	-중에
amount	(금액이)-이 되다
amount	양, 금액
amplify	확대하다
amuse	재미나게 하다
analyse	분해하다
ancestor	조상
anchor	닻
ancient	옛날의
and	및
angel	천사
anger	성
angle	각
animal	동물
ankle	발목
anniversary	기념일 예년의
announce	알리다
announcement	공고, 발표
annoy	귀찮게하다
annual	일년의
anonymous	익명의, 이름을 모르는
another	또 하나
answer	대답
ant	개미
anticipate	예상하다
anticipate	예측하다
antique	골동품
anxiety	근심
anxious	걱정되는
any	어떤
apart	떨어져서
apologize	사과하다
apology	사과
apparent	명백한
appeal	간청하다
appear	나타나다
appearance	외무, 출현
applaud	갈채를 보내다
apple	사과
